pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
24,Quebec,Québec,2022-04-28,1,1,,,,
1,Canada,Canada,2022-04-28,1,1,,,,21
24,Quebec,Québec,2022-04-29,1,2,,,,
1,Canada,Canada,2022-04-29,1,2,,,,
24,Quebec,Québec,2022-05-01,1,3,,,,
1,Canada,Canada,2022-05-01,1,3,,,,
24,Quebec,Québec,2022-05-02,1,4,,,,
1,Canada,Canada,2022-05-02,1,4,,,,
24,Quebec,Québec,2022-05-03,1,5,,,,
1,Canada,Canada,2022-05-03,1,5,,,,
24,Quebec,Québec,2022-05-04,1,6,,,,
1,Canada,Canada,2022-05-04,1,6,,,,
24,Quebec,Québec,2022-05-05,1,7,,,,
1,Canada,Canada,2022-05-05,1,7,,,,
24,Quebec,Québec,2022-05-07,1,8,,,,
1,Canada,Canada,2022-05-07,1,8,,,,
24,Quebec,Québec,2022-05-09,2,10,,,,
1,Canada,Canada,2022-05-09,2,10,,,,
24,Quebec,Québec,2022-05-10,1,11,,,,
1,Canada,Canada,2022-05-10,1,11,,,,
24,Quebec,Québec,2022-05-11,1,12,,,,
1,Canada,Canada,2022-05-11,1,12,,,,
24,Quebec,Québec,2022-05-12,3,15,,,,
1,Canada,Canada,2022-05-12,3,15,,,,
35,Ontario,Ontario,2022-05-13,1,1,,,,
24,Quebec,Québec,2022-05-13,2,17,,,,
1,Canada,Canada,2022-05-13,3,18,,,,
24,Quebec,Québec,2022-05-14,3,20,,,,
1,Canada,Canada,2022-05-14,3,21,,,,
24,Quebec,Québec,2022-05-15,7,27,,,,
1,Canada,Canada,2022-05-15,7,28,,,,
24,Quebec,Québec,2022-05-16,3,30,,,,
1,Canada,Canada,2022-05-16,3,31,,,,
48,Alberta,Alberta,2022-05-17,1,1,,,,
24,Quebec,Québec,2022-05-17,4,34,,,,
1,Canada,Canada,2022-05-17,5,36,,,,
24,Quebec,Québec,2022-05-19,3,37,,,,
1,Canada,Canada,2022-05-19,3,39,,,,
35,Ontario,Ontario,2022-05-20,2,3,,,,
24,Quebec,Québec,2022-05-20,3,40,,,,
1,Canada,Canada,2022-05-20,5,44,,,,
24,Quebec,Québec,2022-05-21,1,41,,,,
1,Canada,Canada,2022-05-21,1,45,,,,
24,Quebec,Québec,2022-05-22,4,45,,,,
1,Canada,Canada,2022-05-22,4,49,,,,
35,Ontario,Ontario,2022-05-23,3,6,,,,
24,Quebec,Québec,2022-05-23,7,52,,,,
1,Canada,Canada,2022-05-23,10,59,,,,
35,Ontario,Ontario,2022-05-24,1,7,,,,
24,Quebec,Québec,2022-05-24,7,59,,,,
1,Canada,Canada,2022-05-24,8,67,,,,
59,British Columbia,Colombie-Britannique,2022-05-25,1,1,,,,
35,Ontario,Ontario,2022-05-25,2,9,,,,
24,Quebec,Québec,2022-05-25,5,64,,,,
1,Canada,Canada,2022-05-25,8,75,,,,
