prov,date,time_conti,incidence,cumul_cases
BC,2022-05-25,0,1,1
BC,2022-05-26,1,0,1
BC,2022-05-27,2,0,1
BC,2022-05-28,3,0,1
BC,2022-05-29,4,0,1
BC,2022-05-30,5,1,2
BC,2022-05-31,6,0,2
BC,2022-06-01,7,0,2
BC,2022-06-02,8,0,2
BC,2022-06-03,9,0,2
BC,2022-06-04,10,0,2
BC,2022-06-05,11,0,2
BC,2022-06-06,12,0,2
BC,2022-06-07,13,0,2
BC,2022-06-08,14,0,2
BC,2022-06-09,15,0,2
BC,2022-06-10,16,0,2
BC,2022-06-11,17,1,3
BC,2022-06-12,18,1,4
BC,2022-06-13,19,0,4
BC,2022-06-14,20,0,4
BC,2022-06-15,21,0,4
BC,2022-06-16,22,0,4
BC,2022-06-17,23,0,4
BC,2022-06-18,24,0,4
BC,2022-06-19,25,2,6
BC,2022-06-20,26,2,8
BC,2022-06-21,27,1,9
BC,2022-06-22,28,1,10
BC,2022-06-23,29,1,11
BC,2022-06-24,30,1,12
BC,2022-06-25,31,2,14
BC,2022-06-26,32,1,15
BC,2022-06-27,33,2,17
BC,2022-06-28,34,1,18
BC,2022-06-29,35,2,20
BC,2022-06-30,36,0,20
BC,2022-07-01,37,6,26
BC,2022-07-02,38,2,28
BC,2022-07-03,39,3,31
BC,2022-07-04,40,1,32
BC,2022-07-05,41,2,34
BC,2022-07-06,42,0,34
BC,2022-07-07,43,2,36
BC,2022-07-08,44,1,37
BC,2022-07-09,45,3,40
BC,2022-07-10,46,2,42
BC,2022-07-11,47,3,45
BC,2022-07-12,48,8,53
BC,2022-07-13,49,2,55
BC,2022-07-14,50,1,56
BC,2022-07-15,51,2,58
BC,2022-07-16,52,2,60
BC,2022-07-17,53,2,62
BC,2022-07-18,54,3,65
BC,2022-07-19,55,4,69
BC,2022-07-20,56,2,71
BC,2022-07-21,57,2,73
BC,2022-07-22,58,3,76
BC,2022-07-23,59,1,77
BC,2022-07-24,60,1,78
BC,2022-07-25,61,2,80
BC,2022-07-26,62,3,83
BC,2022-07-27,63,3,86
BC,2022-07-28,64,2,88
BC,2022-07-29,65,2,90
BC,2022-07-30,66,4,94
BC,2022-07-31,67,3,97
BC,2022-08-01,68,2,99
BC,2022-08-02,69,0,99
BC,2022-08-03,70,2,101
BC,2022-08-04,71,2,103
BC,2022-08-05,72,2,105
BC,2022-08-06,73,1,106
BC,2022-08-07,74,4,110
BC,2022-08-08,75,6,116
BC,2022-08-09,76,2,118
